PassIndex,PassID,PassTimeStamp,VehicleID,TagProvider,PassType,PassCharge
1,AHY1133256,2020-01-04 13:11:00,BM25PHF40639,AO,home,13
2,BER9377149,2020-01-17 22:28:00,LG64ARC91224,AO,home,13
3,CYP1740025,2020-01-06 03:40:00,DP11ENT03275,AO,home,3
4,EML9254266,2020-01-20 02:13:00,DV04FQL29609,AO,home,3
5,JCJ7197822,2020-01-01 23:11:00,DV04FQL29609,AO,home,3
6,NPN5072346,2020-01-02 03:21:00,PE73VJU23485,AO,home,3
7,PFL1418568,2020-01-02 10:30:00,BY85QGR11636,GF,visitor,3
8,RLX9944953,2020-01-31 17:40:00,PE73VJU23485,AO,home,3
9,TCM5959821,2020-01-29 09:53:00,RR73DWB65452,AO,home,3
10,WJZ9192516,2020-01-17 12:15:00,SL09NOT64494,GF,visitor,3
11,WVD9612301,2020-01-08 11:29:00,HT62RDI04611,AO,home,3
